"date","btc_price","btc_market_cap","btc_volume","gold_price","btc_return","btc_volatility","gold_log_return","rolling_vol"
"2020-03-12",7935.52204017054,144948460093.296,38689036552.8112,1570.7,0.00364126587023925,0.0345018564169024,-0.0515240565801787,0.0138991000632635
"2020-03-13",5142.99045901832,93092131086.9703,50009548492.0749,1562.8,-0.351902693611851,0.0718037345918213,-0.00504229566807118,0.0139063747223115
"2020-03-16",5397.93335743919,98632587514.0025,32985693209.7478,1487.7,0.0495709452413671,0.0728292387173738,-0.0492477810177175,0.0165009458374767
"2020-03-17",5032.50135148772,91962797384.2825,44034438467.9668,1536.2,-0.0676985026960083,0.0734207670818715,0.0320805314013838,0.0175348654468211
"2020-03-18",5389.41577503409,98079756006.7929,36007089253.8226,1498.2,0.0709218733624102,0.075159603419927,-0.025047447050799,0.0180963531771911
"2020-03-19",5376.28074784544,98259998309.0532,37618067230.414,1474.25,-0.00243718943516977,0.074367743299421,-0.016115001633169,0.0182361867730919
"2020-03-20",6170.20060023767,112778383593.491,48056214948.1565,1494.4,0.147670832240373,0.0799851398352786,0.0135754025939648,0.0184023627569058
"2020-03-23",5859.64743029939,107128564670.891,37255748385.3039,1525.4,-0.0503311302271628,0.079647853646715,0.0205318822555599,0.0188435390469914
"2020-03-24",6456.34748596342,118046727572.545,45578824447.6458,1605.75,0.101832074840984,0.0823867060155312,0.0513342664077636,0.021127574266384
"2020-03-25",6730.17378237119,123064256188.859,45846522059.3732,1605.45,0.042411951494725,0.0825556157287775,-0.000186846039407574,0.0211067434859714
"2020-03-26",6695.90061839772,122445336599.199,42082295491.0308,1634.8,-0.00509246344622546,0.08247594993912,0.0181163815916279,0.0213122712240298
"2020-03-27",6765.56207892991,123732739823.462,34840544710.1089,1617.3,0.0104035983360905,0.0825639421334785,-0.0107623805643895,0.0214164205357905
"2020-03-30",5915.3371547919,108551603303.51,25923471292.1764,1618.3,-0.125669517804866,0.0851962346355046,0.00061812339710696,0.0214153835799463
"2020-03-31",6403.14123556522,117151628726.534,34907149977.5792,1608.95,0.0824642903706951,0.086934549105465,-0.0057944232152894,0.0214270990479387
"2020-04-01",6421.70541388854,117750205634.4,32287674952.1782,1576.55,0.00289922986864756,0.0864223853681378,-0.0203428769991737,0.0216892373375689
"2020-04-02",6640.79766631013,120921617010.348,35886963977.7153,1616.8,0.0341174560807085,0.0864594185237562,0.0252099717810347,0.0221308710957049
"2020-04-03",6807.89701789057,124719708453.635,47638672293.7378,1613.1,0.0251625422090727,0.0866648161245688,-0.00229109360566917,0.0219524469620113
"2020-04-06",6788.04827260592,124272363451.94,31885662165.0149,1648.3,-0.00291554722882697,0.0863002059821559,0.0215866602535683,0.0220920270013789
"2020-04-07",7297.6355582895,133484854333.45,45370138560.8249,1649.25,0.0750712524747486,0.0875401642220847,0.000576185365669922,0.0219681266687571
"2020-04-08",7196.78220244205,131782164465.853,43386074290.7147,1647.8,-0.013820004444164,0.0873910304269751,-0.000879574221490627,0.0218980302832242
"2020-04-09",7342.29160114802,134518720640.023,38922547592.8621,1680.65,0.0202186747650353,0.0868968951510159,0.0197395584493727,0.0221123917686499
"2020-04-10",7294.48887512155,133598651281.718,34921486435.0605,1680.65,-0.00651060031707206,0.0869012204132563,0,0.0215437702835663
"2020-04-13",6913.1587874691,126655463658.312,34544392366.0494,1680.65,-0.0522764643528359,0.0872992813652884,0,0.0214957108755058
"2020-04-14",6857.53853751148,125651103790.212,38062368291.0816,1741.9,-0.00804556233518581,0.08693612021562,0.0357958481525536,0.0223423209983755
"2020-04-15",6860.17853570111,125713883015.646,33837365577.4498,1718.65,0.000384977521480795,0.0869084705508534,-0.013437372579344,0.0223718559023941
"2020-04-16",6629.43173803129,121499498109.808,29692916171.0118,1729.5,-0.0336356840378118,0.0870737466508322,0.0062932504731514,0.0223231795300768
"2020-04-17",7059.92622475854,129402884477.959,45752002264.2743,1692.55,0.0649368609163917,0.0877608161155561,-0.0215960819296636,0.0225653121999191
"2020-04-20",7127.51194968915,130680700686.31,29714765522.3253,1686.2,0.00957314889404833,0.0854432355359587,-0.0037587909589845,0.0225413740788545
"2020-04-21",6856.4562783547,125724610427.9,35276609104.4571,1682.05,-0.038029493776755,0.0856874664508362,-0.00246418888145374,0.0224632661606961
"2020-04-22",6842.0385976346,125473149029.115,30093303601.3907,1710.55,-0.00210278898235167,0.0856876062078658,0.0168016686022559,0.022655254629359
"2020-04-23",7109.99529118178,130398643209.393,30819547915.3444,1736.25,0.0391632829490055,0.0859936825946333,0.0149126588591761,0.0204732949058271
"2020-04-24",7382.79314411669,135414822709.731,41032858925.2359,1715.9,0.0383682185096873,0.0546421095978899,-0.0117898907769781,0.0206052003612092
