"date","btc_price","btc_market_cap","btc_volume","gold_price"
2020-10-30,13441.8784960316,249545455596.33,22860841953.8316,1881.85
2020-11-02,13720.3614651463,254260250527.505,19771957707.9371,1889.9
2020-11-03,13558.3617955242,251266177558.48,22630851230.4948,1908.3
2020-11-04,13989.9763581804,259277183164.551,22602862338.464,1900.15
2020-11-05,14101.7160508137,261103557610.748,25857225138.4653,1938.45
2020-11-06,15553.3317010814,288118007577.426,36313255719.0233,1940.8
2020-11-09,15496.3161491474,287116472704.394,24082570971.8915,1867.3
2020-11-10,15335.3421981789,284292217075.769,29501754042.7826,1878.7
2020-11-11,15278.7096597993,283242342238.514,21918753732.6658,1860.95
2020-11-12,15686.9059862132,291215273242.189,23990613793.2682,1874.85
2020-11-13,16265.1492524834,301529322417.461,28001128791.2114,1890.9
2020-11-16,15984.6737841566,296277008765.19,19184714602.5104,1885.6
2020-11-17,16714.4038632219,309857769717.029,24606359052.3845,1889.05
2020-11-18,17651.8204276817,327448838765.298,31572384445.7233,1876.1
2020-11-19,17829.9349583451,330792375072.031,40089857655.3107,1857.35
2020-11-20,17819.7574309684,330526082018.529,30586797551.7117,1875.7
2020-11-23,18390.611843792,342078349285.096,33010231293.9588,1840.2
2020-11-24,18360.6933003859,340635146714.398,33389683851.4282,1799.6
2020-11-25,19091.5241817287,354209935573.803,49429532567.3455,1810.2
2020-11-26,18753.2889216849,348158099247.163,32146102840.2775,1807.4
2020-11-27,17138.0295123952,317999016791.451,48738957776.5203,1779.3
2020-11-30,18169.9542097828,336495192223.014,23940328528.7123,1762.55
2020-12-01,19609.5214395756,363927715778.688,36160827241.4417,1810.75
2020-12-02,18857.4173711182,349587593227.142,38614628143.5732,1822.6
2020-12-03,19208.3981919946,356517705143.294,28923102074.8265,1832.35
2020-12-04,19435.2048474091,360661550057.297,24342606870.709,1843
2020-12-07,19325.5541185911,358762118305.115,21832193872.6986,1859.95
2020-12-08,19198.8064939353,356587934226.102,22034483383.9494,1868.15
2020-12-09,18336.5145812978,340435142947.909,26799991795.5579,1841.75
2020-12-10,18564.9864556881,344693077429.969,29806757748.848,1844.35
2020-12-11,18262.0583846532,339714540194.348,24092658533.6042,1842
